Donor First Name,Donor Last Name,Donor Email Address,Date of Donation,Dollar Amount,Note
Steve,Rogers,steve.rogers@email.com,2022-11-02,0.28,Gala pledge
Tony,Stark,tony.stark@email.com,2024-09-10,0.68,Online donation
Jean,Grey,jean.grey@charity.net,2021-08-05,1.37,Online donation
Tony,Chopper,tony.chopper@example.org,2021-01-09,1.94,Recurring donation
Lois,Lane,lois.lane@charity.net,2022-08-21,1.69,
Tony,Stark,tony.stark@email.com,2022-07-09,0.54,Recurring donation
Patrick,Star,patrick.star@example.org,2022-11-10,1.73,Recurring donation
Wanda,Maximoff,wanda.maximoff@email.com,2025-01-09,41.75,
Jean,Grey,jean.grey@example.org,2020-06-24,1.7,In honor of a friend
Mickey,Mouse,mickey.mouse@charity.net,2019-06-26,480.29,
Steve,Rogers,steve.rogers@nonprofit.org,2022-09-08,1.54,In honor of a friend
Ash,Ketchum,ash.ketchum@nonprofit.org,2021-10-19,6.45,Gala pledge
Jean,Grey,jean.grey@charity.net,2024-08-28,0.89,Online donation
Tony,Stark,tony.stark@nonprofit.org,2020-06-19,1.51,Online donation
Rick,Sanchez,rick.sanchez@nonprofit.org,2020-01-24,11.56,Recurring donation
Lois,Lane,lois.lane@nonprofit.org,2023-01-03,0.88,
Lisa,Simpson,lisa.simpson@example.org,2021-06-02,19202.15,In honor of a friend
Tony,Stark,tony.stark@email.com,2022-07-19,1.1,
Hermione,Granger,hermione.granger@nonprofit.org,2020-08-18,1509.86,
Barbara,Gordon,barbara.gordon@nonprofit.org,2022-11-10,6.62,
Rick,Sanchez,rick.sanchez@example.org,2020-12-26,31.45,
Wanda,Maximoff,wanda.maximoff@email.com,2021-12-15,21.65,In honor of a friend
Patrick,Star,patrick.star@charity.net,2024-03-11,0.82,In honor of a friend
SpongeBob,SquarePants,spongebob.squarepants@charity.net,2019-12-29,0.59,
Patrick,Star,patrick.star@email.com,2020-03-22,1.19,Online donation
Tony,Chopper,tony.chopper@email.com,2024-06-06,0.63,Gala pledge
SpongeBob,SquarePants,spongebob.squarepants@charity.net,2025-03-12,0.69,Recurring donation
Tony,Chopper,tony.chopper@example.org,2020-07-08,0.87,Corporate match
Tony,Stark,tony.stark@example.org,2021-07-22,0.37,Online donation
Ash,Ketchum,ash.ketchum@charity.net,2024-05-13,33.65,
Wanda,Maximoff,wanda.maximoff@email.com,2022-11-16,9.74,
Tony,Chopper,tony.chopper@example.org,2024-06-20,1.66,
Morty,Simth,morty.smith@charity.net,2021-12-16,22.86,Recurring donation
Tony,Chopper,tony.chopper@email.com,2020-07-12,1.31,Gala pledge
Harley,Quinn,harley.quinn@example.org,2025-11-12,1842.78,
Peter,Parker,peter.parker@charity.net,2022-09-19,5.49,Corporate match
SpongeBob,SquarePants,spongebob.squarepants@nonprofit.org,2022-08-29,0.86,
Tony,Chopper,tony.chopper@nonprofit.org,2023-11-26,0.9,Recurring donation
Morty,Smith,morty.smith@charity.net,2021-11-05,49.4,Recurring donation
Scott,Summers,scott.summers@nonprofit.org,2021-02-23,1265.53,In honor of a friend
Tony,Chopper,tony.chopper@example.org,2023-10-28,0.68,
Tony,Chopper,tony.chopper@example.org,2020-08-15,1.62,In honor of a friend
Tony,Chopper,yony.chopper@example.org,2024-07-21,0.26,
SpongeBob,SquarePants,spongebob.squarepants@nonprofit.org,2024-09-28,1.94,Gala pledge
Patrick,Star,patrick.star@email.com,2023-11-12,0.78,
Tony,Stark,tony.stark@nonprofit.org,2023-10-03,1.72,Recurring donation
Tony,Stark,tony.stark@charity.net,2021-01-21,0.54,Recurring donation
Diana,Prince,diana.prince@email.com,2020-05-14,1.02,
Ash,Ketchum,ash.ketchum@email.com,2019-03-24,30.02,
Patrick,Star,patrick.star@charity.net,2025-01-03,1.24,
Patrick,Star,patrick.star@email.com,2025-07-29,1.85,
Daina,Prince,diana.prince@charity.net,2021-02-12,0.34,
Diana,Prince,diana.prince@email.com,2023-01-21,1.0,
Barbara,Gordon,barbara.gordon@nonprofit.org,2022-04-27,14.94,Online donation
Jean,Grey,jean.grey@example.org,2023-06-29,1.54,Recurring donation
Lois,Lane,lois.lane@email.com,2021-07-07,0.31,Gala pledge
Steve,Rogers,steve.rogers@example.org,2025-03-10,0.96,Recurring donation
Tnoy,Stark,tony.stark@charity.net,2024-03-22,1.15,In honor of a friend
Jean,Grey,jean.grey@email.com,2022-02-04,0.72,In honor of a friend
Mickey,Mouse,mickey.mouse@example.org,2025-09-23,179.87,Gala pledge
Morty,Smith,morty.smith@charity.net,2023-10-15,38.49,Corporate match
Lois,Lane,lois.lane@example.org,2021-06-19,1.46,In honor of a friend
Tony,Stark,tony.stark@nonprofit.org,2024-04-16,1.96,In honor of a friend
Barbara,Gordon,barbara.gordon@example.org,2025-09-27,18.68,
Steve,Rogers,steve.rogers@charity.net,2022-01-20,0.99,In honor of a friend
Wanda,Maximoff,wanda.maximoff@charity.net,2023-11-14,0.43,
Tony,Stark,tony.stark@example.org,2022-03-02,1.19,
Wanda,Maximoff,wanda.maximoff@nonprofit.org,2024-11-12,16.11,Gala pledge
Patrick,Star,patrick.star@charity.net,2021-02-28,0.39,Corporate match
Tony,Chopper,tony.chopper@example.org,2023-11-12,1.19,
Tony,Chopper,tony.chopper@email.com,2023-02-04,0.72,
Lois,Lane,lois.lane@charity.net,2020-06-05,0.7,Recurring donation
Diana,Prince,diana.prince@email.com,2021-10-20,1.66,
Barbara,Gordon,barbara.gordon@email.com,2021-10-23,5.02,
Morty,Smith,morty.smith@nonprofit.org,2021-09-17,30.18,Recurring donation
SpongeBob,SquarePants,spongebob.squarepants@example.org,2025-11-23,1.38,
Hermione,Granger,hermione.granger@email.com,2025-09-15,326.29,
Peter,Parker,peter.parker@email.com,2022-05-04,27.74,In honor of a friend
Rick,Sanchez,rick.sanchez@nonprofit.org,2025-12-30,32.88,Gala pledge
Tony,Chopper,tony.chopper@example.org,2024-06-07,0.73,Recurring donation
Barbara,Gordon,barbara.gordon@email.com,2019-12-24,47.81,
Scott,Summers,scott.summers@nonprofit.org,2024-05-20,556.66,In honor of a friend
Lois,Lane,lois.lane@example.org,2021-07-18,1.65,
Peter,Parker,peter.parker@email.com,2021-07-02,24.06,Recurring donation
Harley,Quinn,harley.quinn@nonprofit.org,2023-10-08,1207.09,
Tony,Chopper,tony.chopper@example.org,2022-10-06,1.54,Recurring donation
Barbara,Gordon,barbara.gordon@example.org,2024-12-17,36.21,
Mickey,Mouse,mickey.mouse@nonprofit.org,2020-09-11,123.23,
SpongeBob,SquarePants,spongebob.squarepants@email.com,2019-06-09,1.92,In honor of a friend
Tony,Chopper,tony.chopper@charity.net,2022-11-20,1.81,Recurring donation
Rick,Sanchez,rick.sanchez@example.org,2025-08-02,15.69,In honor of a friend
Diana,Prince,diana.prince@example.org,2020-01-04,1.72,Recurring donation
Patrick,Star,patrick.star@email.com,2019-01-18,1.51,
Rick,Sanchez,rick.sanchez@nonprofit.org,2020-03-06,21.05,
SpongeBob,SquarePants,spongebob.squarepants@email.com,2019-07-16,1.27,Online donation
Lois,Lane,lois.lane@charity.net,2025-12-18,1.39,Online donation
Harley,Quinn,harley.quinn@email.com,2022-06-01,1093.55,Online donation
Jean,Grey,jean.grey@email.com,2024-06-17,1.58,Corporate match
Diana,Prince,diana.prince@charity.net,2021-03-02,1.38,Corporate match
Ash,Ketchum,ash.ketchum@charity.net,2025-03-21,31.08,In honor of a friend
Ash,Ketchum,ash.ketchum@nonprofit.org,2024-06-06,23.92,Corporate match
Steve,Rogers,steve.rogers@example.org,2024-02-03,1.74,Corporate match
Tony,Chopper,tony.chopper@nonprofit.org,2020-05-01,0.82,Recurring donation
Diana,Prince,diana.prince@charity.net,2021-02-13,1.93,Corporate match
Lois,Lnae,lois.lane@example.org,2025-09-13,1.17,Recurring donation
Ash,Ketchum,ash.ketchum@example.org,2021-12-20,17.59,
Steve,Rogers,steve.rogers@nonprofit.org,2019-12-11,1.64,In honor of a friend
Tony,Stark,tony.stark@email.com,2024-04-04,0.8,
Morty,Smith,morty.smith@charity.net,2023-06-06,26.16,
Mickey,Mouse,mickey.mouse@email.com,2019-12-01,339.46,Gala pledge
Tony,Chopper,tony.chopper@nonprofit.org,2019-05-22,1.49,Corporate match
Diana,Prince,diana.prince@charity.net,2024-02-10,1.47,
Jean,Grey,jean.grey@nonprofit.org,2025-12-21,1.08,Online donation
Wanda,Maximoff,wanda.maximoff@charity.net,2024-01-07,21.03,Gala pledge
Tony,Chopper,tony.chopper@email.com,2021-05-05,0.77,Online donation
Jean,Grey,jean.grey@email.com,2020-03-29,1.4,Gala pledge
Patrick,Star,patrick.star@charity.net,2023-06-14,1.22,
Hermione,Granger,hermione.granger@nonprofit.org,2024-04-25,1644.81,
Tony,Chopper,tony.chopper@email.com,2024-08-23,1.22,In honor of a friend
Tony,Chopper,tony.chopper@charity.net,2020-03-29,0.4,Gala pledge
Tony,Chopper,tony.chopper@charity.net,2021-02-20,0.01,
Jean,Grey,jean.grey@example.org,2025-04-17,1.9,
Morty,Smith,morty.smith@charity.net,2019-12-24,32.75,Recurring donation
Patrick,Star,patrick.star@example.org,2022-02-25,1.74,Online donation
SpongeBob,SquarePants,spongebob.squarepants@charity.net,2021-11-27,1.26,Recurring donation
